date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:29:41	49873/49873	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:38%20GMT	https://www.proformanceroofs.com/blog/2020/april/ask-these-essential-questions-before-hiring-a-ro/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/blog/2020/april/ask-these-essential-questions-before-hiring-a-ro/index.html	(from https://www.proformanceroofs.com/)
10:29:41	41757/41757	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:39%20GMT	https://www.proformanceroofs.com/privacy-policy/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/privacy-policy/index.html	(from https://www.proformanceroofs.com/)
10:29:41	419/419	---M--	302	error ('Found')	text/html	date:Mon,%2003%20Aug%202020%2017:29:39%20GMT	https://www.proformanceroofs.com/sso42?R=%2Fadmin%2F	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/sso42.de510.delayed	(from https://www.proformanceroofs.com/admin/)
10:29:42	0/-1	---M--	302	error ('')			https://www.proformanceroofs.com/sso42?R=%2Fadmin%2F	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/sso42.ee510.delayed	(from https://www.proformanceroofs.com/admin/)
10:29:42	42662/42662	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:39%20GMT	https://www.proformanceroofs.com/site-map/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/site-map/index.html	(from https://www.proformanceroofs.com/)
10:29:42	36869/36869	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Aug%202020%2017:29:39%20GMT	https://www.proformanceroofs.com/POST	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/POST.f.delayed	(from http://connect.facebook.net/en_US/fbevents.js)
10:29:43	164270/164270	---M--	200	added ('OK')	image/png	etag:%2220b485d652ed51:0%22	https://www.proformanceroofs.com/common/images/sprite24.png	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/common/images/sprite24.png	(from https://www.proformanceroofs.com/cms/includes/xlyx2kfjo4f.2005051912475.css)
10:29:43	163/163	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2003%20Aug%202020%2017:29:40%20GMT	https://www.proformanceroofs.com/areas-served/admin/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/areas-served/admin/index.html	(from https://www.proformanceroofs.com/areas-served/)
10:29:43	301850/301850	---M-Z	200	added ('OK')	text/css	etag:%2206515d64b23d61:0%22	https://www.proformanceroofs.com/cms/includes/aqtqhp8wchm.2005051912475.css	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/cms/includes/aqtqhp8wchm.2005051912475.css	(from https://www.proformanceroofs.com/areas-served/)
10:29:43	21512/21512	---M-Z	200	added ('OK')	application/javascript	etag:%22a58c5db4a2d7d51:0%22	https://www.proformanceroofs.com/cms/includes/8b_gibugjcm.2001301123088.js	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/cms/includes/8b_gibugjcm.2001301123088.js	(from https://www.proformanceroofs.com/areas-served/)
10:29:44	52419/52419	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:41%20GMT	https://www.proformanceroofs.com/areas-served/altamonte-springs/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/areas-served/altamonte-springs/index.html	(from https://www.proformanceroofs.com/areas-served/)
10:29:44	52193/52193	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:41%20GMT	https://www.proformanceroofs.com/areas-served/apopka/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/areas-served/apopka/index.html	(from https://www.proformanceroofs.com/areas-served/)
10:29:44	50909/50909	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:42%20GMT	https://www.proformanceroofs.com/areas-served/clermont/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/areas-served/clermont/index.html	(from https://www.proformanceroofs.com/areas-served/)
10:29:44	50331/50331	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:42%20GMT	https://www.proformanceroofs.com/areas-served/cape-canaveral/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/areas-served/cape-canaveral/index.html	(from https://www.proformanceroofs.com/areas-served/)
10:29:44	51318/51318	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:42%20GMT	https://www.proformanceroofs.com/areas-served/the-villages/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/areas-served/the-villages/index.html	(from https://www.proformanceroofs.com/areas-served/)
10:29:45	292380/292380	---M-Z	200	added ('OK')	text/css	etag:%2206515d64b23d61:0%22	https://www.proformanceroofs.com/cms/includes/2se0k9_v9ge.2005051912475.css	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/cms/includes/2se0k9_v9ge.2005051912475.css	(from https://www.proformanceroofs.com/blog/)
10:29:45	52916/52916	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:42%20GMT	https://www.proformanceroofs.com/areas-served/winter-garden/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/areas-served/winter-garden/index.html	(from https://www.proformanceroofs.com/areas-served/)
10:29:45	50413/50413	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:42%20GMT	https://www.proformanceroofs.com/areas-served/winter-park/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/areas-served/winter-park/index.html	(from https://www.proformanceroofs.com/areas-served/)
10:29:45	50369/50369	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:42%20GMT	https://www.proformanceroofs.com/areas-served/winter-springs/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/areas-served/winter-springs/index.html	(from https://www.proformanceroofs.com/areas-served/)
10:29:45	58332/58332	---M--	200	added ('OK')	image/jpeg	etag:%221d62e030c4a8c00:0%22	https://www.proformanceroofs.com/cms/thumbnails/34/480x240//images/blog/25.jpg	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/cms/thumbnails/34/480x240/images/blog/25.jpg	(from https://www.proformanceroofs.com/blog/)
10:29:45	155/155	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2003%20Aug%202020%2017:29:43%20GMT	https://www.proformanceroofs.com/blog/admin/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/blog/admin/index.html	(from https://www.proformanceroofs.com/blog/)
10:29:46	91994/91994	---M--	200	added ('OK')	image/png	etag:%221d61726068b5900:0%22	https://www.proformanceroofs.com/cms/thumbnails/34/480x240//images/blog/18.png	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/cms/thumbnails/34/480x240/images/blog/18.png	(from https://www.proformanceroofs.com/blog/)
10:29:46	221560/221560	---M--	200	added ('OK')	image/png	etag:%221d5c22fd465f200:0%22	https://www.proformanceroofs.com/cms/thumbnails/34/480x240//images/blog/November-2019-Ed-Cal-ProFormance-Roofing.13).png	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/cms/thumbnails/34/480x240/images/blog/November-2019-Ed-Cal-ProFormance-Roofing.13).png	(from https://www.proformanceroofs.com/blog/)
10:29:47	47727/47727	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:44%20GMT	https://www.proformanceroofs.com/blog/2019/december/safety-tips-for-holiday-decorating/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/blog/2019/december/safety-tips-for-holiday-decorating/index.html	(from https://www.proformanceroofs.com/blog/)
10:29:47	183582/183582	---M--	200	added ('OK')	image/png	etag:%221d5c145896fb000:0%22	https://www.proformanceroofs.com/cms/thumbnails/34/480x240//images/blog/November-2019-Ed-Cal-ProFormance-Roofing.11).png	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/cms/thumbnails/34/480x240/images/blog/November-2019-Ed-Cal-ProFormance-Roofing.11).png	(from https://www.proformanceroofs.com/blog/)
10:29:47	46483/46483	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:44%20GMT	https://www.proformanceroofs.com/blog/2019/september/let-s-talk-about-insulation/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/blog/2019/september/let-s-talk-about-insulation/index.html	(from https://www.proformanceroofs.com/blog/)
10:29:47	67617/67617	---M--	200	added ('OK')	image/png	etag:%221d58c7cd6826200:0%22	https://www.proformanceroofs.com/cms/thumbnails/34/480x240//images/blog/ProFormance-Roofing-August-Ed-Cal.2).png	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/cms/thumbnails/34/480x240/images/blog/ProFormance-Roofing-August-Ed-Cal.2).png	(from https://www.proformanceroofs.com/blog/)
10:29:47	38580/38580	---M--	200	added ('OK')	image/png	etag:%221d575c215f85880:0%22	https://www.proformanceroofs.com/cms/thumbnails/34/480x240//images/blog/ProFormance-Roofing-August-Ed-Cal.6).png	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/cms/thumbnails/34/480x240/images/blog/ProFormance-Roofing-August-Ed-Cal.6).png	(from https://www.proformanceroofs.com/blog/)
10:29:48	48032/48032	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:45%20GMT	https://www.proformanceroofs.com/blog/2019/september/your-summer-roofing-checklist/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/blog/2019/september/your-summer-roofing-checklist/index.html	(from https://www.proformanceroofs.com/blog/)
10:29:48	12941/12941	---M-Z	200	added ('OK')	application/javascript	etag:%226c253f5527d3d51:0%22	https://www.proformanceroofs.com/cms/includes/w4pqkug4htz.2001241829564.js	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/cms/includes/w4pqkug4htz.2001241829564.js	(from https://www.proformanceroofs.com/blog/)
10:29:49	48190/48190	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:45%20GMT	https://www.proformanceroofs.com/blog/2017/july/home-and-roof-shapes-that-hold-up-best-to-hurric/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/blog/2017/july/home-and-roof-shapes-that-hold-up-best-to-hurric/index.html	(from https://www.proformanceroofs.com/blog/)
10:29:49	48247/48247	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:45%20GMT	https://www.proformanceroofs.com/blog/2017/july/what-s-the-best-type-of-roof-for-florida-weather/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/blog/2017/july/what-s-the-best-type-of-roof-for-florida-weather/index.html	(from https://www.proformanceroofs.com/blog/)
10:29:49	47427/47427	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:45%20GMT	https://www.proformanceroofs.com/blog/2017/july/do-s-and-don-ts-of-building-in-hurricane-prone-a/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/blog/2017/july/do-s-and-don-ts-of-building-in-hurricane-prone-a/index.html	(from https://www.proformanceroofs.com/blog/)
10:29:49	48149/48149	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:46%20GMT	https://www.proformanceroofs.com/blog/2017/august/the-best-times-of-year-for-roof-replacement-in-f/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/blog/2017/august/the-best-times-of-year-for-roof-replacement-in-f/index.html	(from https://www.proformanceroofs.com/blog/)
10:29:49	45120/45120	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2017:29:46%20GMT	https://www.proformanceroofs.com/blog/categories/general-roofing/	C:/Users/jwyvp/Desktop/Working/Performance%20Roof/www.proformanceroofs.com/blog/categories/general-roofing/index.html	(from https://www.proformanceroofs.com/blog/)
